id,probability
96144,0.540530591428
17982,0.540269600837
96161,0.5008249492
53895,0.508937638693
7267,0.497461894377
86105,0.493515627532
15541,0.513264045853
16954,0.47498795918
85510,0.502426964998
115343,0.484287282323
56379,0.521753102529
29747,0.498978770013
100245,0.513017685389
114977,0.532273501865
67349,0.497755870836
8253,0.487567004649
120802,0.529362662056
48951,0.563283066886
102411,0.514513156885
61486,0.510733192033
8948,0.527369649256
49501,0.487609512489
153197,0.478972057264
125350,0.486501501478
146523,0.511678843725
146190,0.478908520053
31585,0.494263566785
79943,0.507400890213
30839,0.497972327234
121199,0.490678434903
99435,0.518727618005
37511,0.51959812338
122374,0.52143172967
83408,0.491824089337
126824,0.50007675246
139456,0.507137694606
115153,0.520368919172
104646,0.491658935036
36662,0.519513517303
138263,0.508948425452
71254,0.506268130091
64740,0.509073634293
123207,0.511139431057
95616,0.503858702813
140539,0.511570500967
73225,0.497361540834
37019,0.522798846865
113117,0.509796445369
43115,0.517966288648
13786,0.537907710856
93764,0.516117895372
32519,0.54403089655
11119,0.499114294295
35974,0.502993323737
86173,0.520389099424
43552,0.476189280828
99582,0.498912365491
135074,0.52618337952
23197,0.508578839505
113173,0.490882640637
70178,0.489422026689
64035,0.49445187396
53473,0.488106211842
8586,0.511199181356
51373,0.52503143595
26024,0.516618510742
98417,0.506520263679
11433,0.513371334811
65562,0.493271259646
80199,0.517115066523
45060,0.493006747793
112379,0.494522757545
149200,0.504119075745
118292,0.497859314009
9717,0.501851745309
149951,0.496719875172
142045,0.473150506279
135834,0.541212259982
133,0.50921373576
85148,0.464371132361
98100,0.493700339924
40345,0.532966094155
110075,0.533322956598
5417,0.511009035305
83463,0.512848579116
149330,0.490590144469
44166,0.496367254513
95046,0.532957480562
133654,0.507251956557
52804,0.466042330568
82813,0.536606154597
120379,0.514996120386
19200,0.514714064579
51164,0.468253280422
133134,0.476330757884
76010,0.504131778194
124674,0.507540021861
105339,0.504752063778
6251,0.516260081948
16877,0.489379716879
39036,0.476472228782
28371,0.538436889894
113654,0.470760027949
31087,0.527884713312
17111,0.476005117271
103928,0.490681196749
4047,0.506998538309
42869,0.480059355437
53398,0.490540793972
62838,0.497561531415
148133,0.521846447132
118780,0.50586230118
20298,0.507902799406
75404,0.485990847091
22729,0.479900908978
132680,0.517258303553
122055,0.505824173886
135301,0.54526169837
151954,0.523188381007
85421,0.515264540886
25456,0.522920202854
74875,0.506068456362
93123,0.48109460809
